species,Carnivore,Corallivore,Detritivore,Ectoparasite cleaner,Herbivore,Omnivore,Parasitic,Planktivore
Pterengraulis atherinoides,x,,,,,,,x
Ephippidae,,,,,,,,
Chaetodipterus faber,,x,,,,x,,
Platax orbicularis,,,,,,x,,
Etmopteridae,,,,,,,,
Centroscyllium fabricii,x,,,,,,,
Etmopterus bigelowi,x,,,,,,,
Etmopterus bullisi,x,,,,,,,
Etmopterus carteri,x,,,,,,,
Etmopterus gracilispinis,x,,,,,,,
Etmopterus hillianus,x,,,,,,,
Etmopterus perryi,x,,,,,,,
Etmopterus pusillus,x,,,,,,,
Etmopterus robinsi,x,,,,,,,
Etmopterus schultzi,x,,,,,,,
Etmopterus virens,x,,,,,,,
