"","sciname","Genus","Species","SpeciesRefNo","FamCode","DemersPelag","DepthRangeDeep","Length","LTypeMaxM","SpecCode"
"279","Bathyagonus pentacanthus","Bathyagonus","pentacanthus",28197,283,"demersal",910,23,"TL",4162
"280","Bothragonus occidentalis","Bothragonus","occidentalis",559,283,"demersal",100,7,"TL",24009
"281","Bothragonus swanii","Bothragonus","swanii",28197,283,"demersal",18,8.9,"TL",4163
"282","Brachyopsis segaliensis","Brachyopsis","segaliensis",27683,283,"demersal",110,30,"TL",50376
"283","Chesnonia verrucosa","Chesnonia","verrucosa",2850,283,"demersal",425,20,"TL",4167
"284","Freemanichthys thompsoni","Freemanichthys","thompsoni",559,283,"demersal",300,22,"TL",24008
"285","Hypsagonus corniger","Hypsagonus","corniger",27683,283,"demersal",105,10,"TL",50403
"286","Hypsagonus quadricornis","Hypsagonus","quadricornis",2850,283,"demersal",452,12,"TL",4164
"287","Leptagonus decagonus","Leptagonus","decagonus",4700,283,"demersal",930,21,"TL",4154
"288","Occella dodecaedron","Occella","dodecaedron",3814,283,"demersal",325,21.6,"SL",4165
"289","Occella iburia","Occella","iburia",559,283,"demersal",269,21.2,"SL",23992
"290","Occella kasawae","Occella","kasawae",559,283,"demersal",140,NA,NA,23994
"291","Occella kuronumai","Occella","kuronumai",559,283,"demersal",NA,NA,NA,23993
"292","Odontopyxis trispinosa","Odontopyxis","trispinosa",2850,283,"demersal",373,9.5,"TL",4168
"293","Pallasina barbata","Pallasina","barbata",28197,283,"demersal",105,17,"TL",4169
"294","Percis japonica","Percis","japonica",43939,283,"bathydemersal",750,42,"TL",23990
"295","Percis matsuii","Percis","matsuii",559,283,"bathydemersal",500,15,"SL",23991
"296","Podothecus accipenserinus","Podothecus","accipenserinus",43939,283,"demersal",710,30.5,"TL",4153
"297","Podothecus hamlini","Podothecus","hamlini",51659,283,"demersal",55,17,"TL",62092
"298","Podothecus sachi","Podothecus","sachi",559,283,"demersal",269,50,"TL",24005
"299","Podothecus sturioides","Podothecus","sturioides",27683,283,"demersal",432,29,"TL",50366
"300","Podothecus veternus","Podothecus","veternus",27683,283,"demersal",605,28,"TL",50370
"301","Sarritor frenatus","Sarritor","frenatus",41299,283,"demersal",975,27,"TL",4170
"302","Sarritor knipowitschi","Sarritor","knipowitschi",51659,283,"demersal",190,14.4,"SL",62093
"303","Sarritor leptorhynchus","Sarritor","leptorhynchus",41299,283,"bathydemersal",460,25,"TL",4171
"304","Stellerina xyosterna","Stellerina","xyosterna",2850,283,"demersal",75,16,"TL",4172
"305","Tilesina gibbosa","Tilesina","gibbosa",559,283,"demersal",400,36,"TL",24003
"306","Xeneretmus latifrons","Xeneretmus","latifrons",2850,283,"bathydemersal",400,19,"TL",4173
"307","Xeneretmus leiops","Xeneretmus","leiops",2850,283,"demersal",399,24,"TL",4174
"308","Xeneretmus ritteri","Xeneretmus","ritteri",2850,283,"bathydemersal",366,16,"TL",4175
"309","Xeneretmus triacanthus","Xeneretmus","triacanthus",2850,283,"bathydemersal",373,18,"TL",4176
"310","Acrochordonichthys chamaeleon","Acrochordonichthys","chamaeleon",37794,137,"demersal",NA,9.9,"SL",23294
"311","Acrochordonichthys falcifer","Acrochordonichthys","falcifer",37794,137,"demersal",NA,9.21,"SL",58361
"312","Acrochordonichthys guttatus","Acrochordonichthys","guttatus",37794,137,"demersal",NA,9.77,"SL",58357
"313","Acrochordonichthys gyrinus","Acrochordonichthys","gyrinus",50585,137,"demersal",NA,10,"TL",61549
"314","Acrochordonichthys ischnosoma","Acrochordonichthys","ischnosoma",37794,137,"demersal",NA,10.1,"SL",23295
"315","Acrochordonichthys mahakamensis","Acrochordonichthys","mahakamensis",37794,137,"demersal",NA,8.32,"SL",58358
"316","Acrochordonichthys pachyderma","Acrochordonichthys","pachyderma",37794,137,"demersal",NA,14.48,"SL",58362
"317","Acrochordonichthys rugosus","Acrochordonichthys","rugosus",37794,137,"demersal",NA,11,"SL",23304
"318","Acrochordonichthys septentrionalis","Acrochordonichthys","septentrionalis",37794,137,"demersal",NA,10.13,"SL",58359
"319","Acrochordonichthys strigosus","Acrochordonichthys","strigosus",37794,137,"demersal",NA,8.35,"SL",58360
"320","Akysis bilustris","Akysis","bilustris",87997,137,"benthopelagic",NA,2.53,"SL",66310
"321","Akysis brachybarbatus","Akysis","brachybarbatus",30226,137,"benthopelagic",NA,3.41,"SL",54773
"322","Akysis clavulus","Akysis","clavulus",52824,137,"demersal",NA,3.5,"SL",62037
"323","Akysis clinatus","Akysis","clinatus",56231,137,"demersal",NA,3.3,"SL",62564
"324","Akysis ephippifer","Akysis","ephippifer",30226,137,"demersal",NA,3.36,"SL",52539
"325","Akysis fontaneus","Akysis","fontaneus",80541,137,"benthopelagic",2,2.35,"SL",64889
"326","Akysis fuliginatus","Akysis","fuliginatus",56231,137,"demersal",NA,2.15,"SL",62565
"327","Akysis galeatus","Akysis","galeatus",75761,137,"demersal",NA,2.81,"SL",64033
"328","Akysis hendricksoni","Akysis","hendricksoni",30226,137,"benthopelagic",NA,4.87,"SL",26974
"329","Akysis heterurus","Akysis","heterurus",13275,137,"benthopelagic",NA,NA,NA,27400
"330","Akysis longifilis","Akysis","longifilis",56465,137,"benthopelagic",NA,5.31,"SL",62593
"331","Akysis maculipinnis","Akysis","maculipinnis",12693,137,"benthopelagic",NA,3.13,"SL",26747
"332","Akysis manipurensis","Akysis","manipurensis",55491,137,"demersal",NA,NA,NA,60651
"333","Akysis microps","Akysis","microps",36133,137,"benthopelagic",NA,2.88,"SL",58042
"334","Akysis pictus","Akysis","pictus",4833,137,"benthopelagic",NA,5.92,"SL",24796
"335","Akysis portellus","Akysis","portellus",80397,137,"benthopelagic",NA,3.43,"SL",64863
"336","Akysis prashadi","Akysis","prashadi",4833,137,"benthopelagic",NA,6.21,"SL",24798
"337","Akysis pulvinatus","Akysis","pulvinatus",59363,137,"demersal",NA,2.96,"SL",63540
"338","Akysis recavus","Akysis","recavus",30226,137,"benthopelagic",NA,4,"SL",52542
"339","Akysis scorteus","Akysis","scorteus",75761,137,"demersal",NA,3.2,"SL",64032
"340","Akysis variegatus","Akysis","variegatus",7050,137,"demersal",NA,4.3,"TL",23309
"341","Akysis varius","Akysis","varius",30226,137,"benthopelagic",NA,4,"SL",52544
"342","Akysis vespa","Akysis","vespa",55399,137,"demersal",NA,3.14,"SL",62235
"343","Akysis vespertinus","Akysis","vespertinus",79812,137,"demersal",NA,3.43,"SL",64791
"344","Breitensteinia cessator","Breitensteinia","cessator",40801,137,"demersal",NA,7.53,"SL",60072
"345","Breitensteinia hypselurus","Breitensteinia","hypselurus",45707,137,"demersal",NA,12.19,"SL",60317
"346","Breitensteinia insignis","Breitensteinia","insignis",45707,137,"demersal",NA,22,"SL",23310
"347","Parakysis anomalopteryx","Parakysis","anomalopteryx",13847,137,"demersal",NA,3.4,"SL",12745
"348","Parakysis grandis","Parakysis","grandis",13847,137,"demersal",NA,6.2,"SL",27401
"349","Parakysis hystriculus","Parakysis","hystriculus",80319,137,"benthopelagic",NA,2.92,"SL",64856
"350","Parakysis longirostris","Parakysis","longirostris",13847,137,"demersal",NA,4.57,"SL",27402
"351","Parakysis notialis","Parakysis","notialis",50510,137,"demersal",NA,2.01,"SL",61511
"352","Parakysis verrucosus","Parakysis","verrucosus",13847,137,"demersal",NA,5,"SL",23313
"353","Pseudobagarius alfredi","Pseudobagarius","alfredi",58032,137,"benthopelagic",NA,3,"SL",52534
"354","Pseudobagarius baramensis","Pseudobagarius","baramensis",58032,137,"benthopelagic",NA,5.2,"TL",23306
"355","Pseudobagarius filifer","Pseudobagarius","filifer",58032,137,"demersal",NA,5.01,"SL",62566
"356","Pseudobagarius fuscus","Pseudobagarius","fuscus",58032,137,"benthopelagic",NA,NA,NA,27398
"357","Pseudobagarius hardmani","Pseudobagarius","hardmani",58032,137,"demersal",NA,4.23,"SL",62448
"358","Pseudobagarius inermis","Pseudobagarius","inermis",58032,137,"demersal",NA,3.52,"SL",57782
"359","Pseudobagarius leucorhynchus","Pseudobagarius","leucorhynchus",58032,137,"benthopelagic",NA,3.02,"SL",26975
"360","Pseudobagarius macronemus","Pseudobagarius","macronemus",58032,137,"benthopelagic",NA,5,"SL",23307
"361","Pseudobagarius meridionalis","Pseudobagarius","meridionalis",52919,137,"benthopelagic",NA,3.14,"SL",62046
"362","Pseudobagarius nitidus","Pseudobagarius","nitidus",58032,137,"demersal",NA,4.13,"SL",62567
"363","Pseudobagarius pseudobagarius","Pseudobagarius","pseudobagarius",58032,137,"benthopelagic",NA,5.9,"SL",23308
"364","Pseudobagarius similis","Pseudobagarius","similis",58032,137,"benthopelagic",NA,5.1,"SL",52535
"365","Pseudobagarius sinensis","Pseudobagarius","sinensis",58032,137,"benthopelagic",NA,6.6,"SL",54772
"366","Pseudobagarius subtilis","Pseudobagarius","subtilis",30226,137,"benthopelagic",NA,4,"SL",52537
"367","Albula argentea","Albula","argentea",74924,48,"demersal",90,70,"SL",58326
"368","Albula esuncula","Albula","esuncula",84196,48,"reef-associated",NA,32,"SL",65525
"369","Albula gilberti","Albula","gilberti",88068,48,"benthopelagic",NA,25.7,"SL",66312
"370","Albula glossodonta","Albula","glossodonta",1602,48,"reef-associated",10,90,"SL",11512
"371","Albula goreensis","Albula","goreensis",94080,48,"reef-associated",NA,NA,NA,67597
"372","Albula koreana","Albula","koreana",87083,48,"pelagic-neritic",NA,35.01,"SL",66113
"373","Albula nemoptera","Albula","nemoptera",7251,48,"demersal",50,51,"TL",7334
"374","Albula oligolepis","Albula","oligolepis",74924,48,"reef-associated",NA,35.4,"SL",63907
"375","Albula pacifica","Albula","pacifica",84142,48,"demersal",NA,NA,NA,67476
"376","Albula virgata","Albula","virgata",74924,48,"reef-associated",NA,32.2,"SL",63908
"377","Albula vulpes","Albula","vulpes",4447,48,"reef-associated",84,104,"TL",228
"378","Pterothrissus belloci","Pterothrissus","belloci",5576,48,"bathydemersal",500,40,"SL",229
"379","Pterothrissus gissu","Pterothrissus","gissu",559,48,"benthopelagic",1000,50,"TL",22771
"380","Alepisaurus brevirostris","Alepisaurus","brevirostris",4476,171,"bathypelagic",1591,96,"TL",2728
"381","Alepisaurus ferox","Alepisaurus","ferox",6011,171,"bathypelagic",1830,215,"TL",99
"382","Alepocephalus agassizii","Alepocephalus","agassizii",4460,86,"bathydemersal",2500,79,"SL",9171
"383","Alepocephalus andersoni","Alepocephalus","andersoni",38717,86,"bathydemersal",726,NA,NA,58899
"384","Alepocephalus antipodianus","Alepocephalus","antipodianus",38717,86,"bathydemersal",1160,60.7,"SL",58901
"385","Alepocephalus asperifrons","Alepocephalus","asperifrons",38717,86,"bathydemersal",1867,NA,NA,58903
"386","Alepocephalus australis","Alepocephalus","australis",4460,86,"bathydemersal",2600,60,"SL",9172
"387","Alepocephalus bairdii","Alepocephalus","bairdii",4736,86,"bathydemersal",1700,100,"SL",230
"388","Alepocephalus bicolor","Alepocephalus","bicolor",559,86,"bathydemersal",1080,29,"SL",7592
"389","Alepocephalus blanfordii","Alepocephalus","blanfordii",40966,86,"benthopelagic",2000,NA,NA,58904
"390","Alepocephalus dentifer","Alepocephalus","dentifer",44023,86,"bathydemersal",1760,30.5,"SL",60307
"391","Alepocephalus fundulus","Alepocephalus","fundulus",40966,86,"bathydemersal",3060,18,"SL",58908
"392","Alepocephalus longiceps","Alepocephalus","longiceps",559,86,"bathydemersal",1300,16,"SL",22691
"393","Alepocephalus longirostris","Alepocephalus","longirostris",559,86,"bathydemersal",1537,41,"SL",22693
"394","Alepocephalus melas","Alepocephalus","melas",9068,86,"bathydemersal",NA,NA,NA,55082
"395","Alepocephalus owstoni","Alepocephalus","owstoni",559,86,"bathydemersal",1000,40,"SL",22688
"396","Alepocephalus planifrons","Alepocephalus","planifrons",41471,86,"bathydemersal",750,NA,NA,58911
"397","Alepocephalus productus","Alepocephalus","productus",4736,86,"bathydemersal",3500,41,"SL",10000
"398","Alepocephalus rostratus","Alepocephalus","rostratus",2719,86,"bathydemersal",2250,50,"SL",5071
"399","Alepocephalus tenebrosus","Alepocephalus","tenebrosus",2850,86,"bathydemersal",5500,61,"TL",11590
"400","Alepocephalus triangularis","Alepocephalus","triangularis",559,86,"bathydemersal",1140,24,"SL",22694
"401","Alepocephalus umbriceps","Alepocephalus","umbriceps",559,86,"bathydemersal",2000,63,"SL",22687
"402","Asquamiceps caeruleus","Asquamiceps","caeruleus",4460,86,"bathypelagic",2740,33.7,"SL",9174
"403","Asquamiceps hjorti","Asquamiceps","hjorti",4460,86,"bathypelagic",2865,25.3,"SL",16451
"404","Asquamiceps longmani","Asquamiceps","longmani",7300,86,"demersal",NA,NA,NA,24553
"405","Asquamiceps velaris","Asquamiceps","velaris",4736,86,"bathypelagic",3660,17.4,"SL",10002
"406","Aulastomatomorpha phospherops","Aulastomatomorpha","phospherops",40779,86,"bathydemersal",2020,28,"SL",58910
"407","Bajacalifornia aequatoris","Bajacalifornia","aequatoris",34613,86,"bathypelagic",1495,NA,NA,56744
"408","Bajacalifornia arcylepis","Bajacalifornia","arcylepis",34631,86,"bathypelagic",2000,21.6,"SL",56747
"409","Bajacalifornia burragei","Bajacalifornia","burragei",2908,86,"bathypelagic",1080,18.1,"SL",5200
"410","Bajacalifornia calcarata","Bajacalifornia","calcarata",4460,86,"bathypelagic",1100,38,"SL",16453
"411","Bajacalifornia erimoensis","Bajacalifornia","erimoensis",559,86,"bathypelagic",966,36.6,"TL",58907
"412","Bajacalifornia megalops","Bajacalifornia","megalops",4736,86,"bathypelagic",3200,40,"SL",10003
"413","Bajacalifornia microstoma","Bajacalifornia","microstoma",34613,86,"bathypelagic",NA,24.7,"SL",56745
"414","Bathylaco macrophthalmus","Bathylaco","macrophthalmus",40966,86,"bathydemersal",3570,NA,NA,58909
"415","Bathylaco nielseni","Bathylaco","nielseni",4460,86,"bathypelagic",2000,29.1,"SL",16455
"416","Bathylaco nigricans","Bathylaco","nigricans",4736,86,"bathypelagic",4540,36,"SL",10564
"417","Bathyprion danae","Bathyprion","danae",4736,86,"bathypelagic",3200,38,"SL",10568
"418","Bathytroctes breviceps","Bathytroctes","breviceps",34286,86,"bathypelagic",1650,30.3,"SL",56583
"419","Bathytroctes elegans","Bathytroctes","elegans",34286,86,"bathypelagic",1300,NA,NA,56590
"420","Bathytroctes inspector","Bathytroctes","inspector",34286,86,"bathypelagic",2724,21.8,"SL",56584
"421","Bathytroctes macrognathus","Bathytroctes","macrognathus",34286,86,"bathypelagic",4820,24.2,"SL",56586
"422","Bathytroctes macrolepis","Bathytroctes","macrolepis",34286,86,"bathypelagic",5850,40,"SL",56587
"423","Bathytroctes michaelsarsi","Bathytroctes","michaelsarsi",34286,86,"bathypelagic",5057,37,"SL",10772
"424","Bathytroctes microlepis","Bathytroctes","microlepis",4736,86,"bathypelagic",4900,32.3,"SL",10764
"425","Bathytroctes oligolepis","Bathytroctes","oligolepis",4460,86,"bathypelagic",2100,32.3,"SL",16457
"426","Bathytroctes pappenheimi","Bathytroctes","pappenheimi",34286,86,"bathypelagic",2020,10.78,"SL",56588
"427","Bathytroctes squamosus","Bathytroctes","squamosus",2711,86,"bathypelagic",2060,30.6,"SL",15810
"428","Bathytroctes zugmayeri","Bathytroctes","zugmayeri",34286,86,"bathypelagic",1473,NA,NA,56591
"429","Conocara bertelseni","Conocara","bertelseni",46206,86,"bathypelagic",2380,NA,NA,60306
"430","Conocara fiolenti","Conocara","fiolenti",4736,86,"bathypelagic",1600,37.2,"SL",10775
"431","Conocara kreffti","Conocara","kreffti",26788,86,"bathypelagic",1700,38.6,"SL",51689
"432","Conocara macropterum","Conocara","macropterum",4736,86,"bathypelagic",2200,34,"SL",10789
"433","Conocara microlepis","Conocara","microlepis",4736,86,"bathypelagic",2200,27,"SL",10792
"434","Conocara murrayi","Conocara","murrayi",4736,86,"bathypelagic",2603,34,"SL",10795
"435","Conocara nigrum","Conocara","nigrum",7300,86,"demersal",2562,NA,NA,24558
"436","Conocara paxtoni","Conocara","paxtoni",84725,86,"bathypelagic",2450,38.7,"SL",65647
"437","Conocara salmoneum","Conocara","salmoneum",4736,86,"bathypelagic",4500,73,"SL",10806
"438","Conocara werneri","Conocara","werneri",4736,86,"bathypelagic",2300,34,"SL",10812
"439","Einara edentula","Einara","edentula",4736,86,"bathypelagic",2000,20.3,"SL",10813
"440","Einara macrolepis","Einara","macrolepis",4736,86,"bathypelagic",2000,22,"SL",10873
"441","Herwigia kreffti","Herwigia","kreffti",4736,86,"bathypelagic",3200,40,"SL",10888
"442","Leptoderma affinis","Leptoderma","affinis",33717,86,"bathypelagic",NA,NA,NA,58897
"443","Leptoderma lubricum","Leptoderma","lubricum",559,86,"bathypelagic",1700,21,"SL",22707
"444","Leptoderma macrophthalmum","Leptoderma","macrophthalmum",86873,86,"bathydemersal",2107,15.1,"SL",66047
"445","Leptoderma macrops","Leptoderma","macrops",4736,86,"bathydemersal",2000,24,"SL",10895
"446","Leptoderma retropinna","Leptoderma","retropinna",559,86,"bathypelagic",1100,21,"SL",22711
"447","Microphotolepis multipunctata","Microphotolepis","multipunctata",5978,86,"benthopelagic",200,NA,NA,10563
"448","Microphotolepis schmidti","Microphotolepis","schmidti",38717,86,"bathydemersal",NA,7.2,"SL",58912
"449","Mirognathus normani","Mirognathus","normani",4736,86,"bathypelagic",3000,20,"SL",10906
"450","Narcetes erimelas","Narcetes","erimelas",4460,86,"bathypelagic",2600,29.1,"SL",16461
"451","Narcetes kamoharai","Narcetes","kamoharai",559,86,"benthopelagic",1000,34,"SL",22695
"452","Narcetes lloydi","Narcetes","lloydi",2711,86,"bathypelagic",1350,50,"SL",15811
"453","Narcetes stomias","Narcetes","stomias",5003,86,"bathypelagic",2300,57.5,"SL",6963
"454","Narcetes wonderi","Narcetes","wonderi",41299,86,"bathydemersal",800,NA,NA,58914
"455","Photostylus pycnopterus","Photostylus","pycnopterus",4736,86,"bathypelagic",2868,13,"SL",10921
"456","Rinoctes nasutus","Rinoctes","nasutus",4736,86,"bathypelagic",4156,19,"SL",11219
"457","Rouleina attrita","Rouleina","attrita",5003,86,"bathypelagic",2300,48,"SL",6964
"458","Rouleina danae","Rouleina","danae",6993,86,"benthopelagic",1415,NA,NA,27419
"459","Rouleina eucla","Rouleina","eucla",38717,86,"bathypelagic",1050,NA,NA,59104
"460","Rouleina euryops","Rouleina","euryops",36330,86,"bathypelagic",1412,23.4,"SL",58905
"461","Rouleina guentheri","Rouleina","guentheri",559,86,"bathypelagic",1300,23,"SL",22702
"462","Rouleina livida","Rouleina","livida",36330,86,"bathypelagic",1500,34,"SL",58066
"463","Rouleina maderensis","Rouleina","maderensis",4736,86,"bathypelagic",1450,32,"SL",11229
"464","Rouleina nuda","Rouleina","nuda",36330,86,"bathypelagic",750,14.44,"SL",58906
"465","Rouleina squamilatera","Rouleina","squamilatera",2711,86,"bathypelagic",1150,38,"SL",16695
"466","Rouleina watasei","Rouleina","watasei",559,86,"bathypelagic",1300,22,"SL",22700
"467","Talismania antillarum","Talismania","antillarum",4736,86,"bathypelagic",1460,16,"SL",11248
"468","Talismania aphos","Talismania","aphos",9068,86,"bathypelagic",1830,NA,NA,55083
"469","Talismania bifurcata","Talismania","bifurcata",7300,86,"bathydemersal",2000,27.7,"SL",24576
"470","Talismania brachycephala","Talismania","brachycephala",33629,86,"benthopelagic",955,NA,NA,58896
"471","Talismania bussingi","Talismania","bussingi",27540,86,"bathydemersal",780,18.6,"SL",54854
"472","Talismania filamentosa","Talismania","filamentosa",559,86,"benthopelagic",945,37,"SL",22697
"473","Talismania homoptera","Talismania","homoptera",4460,86,"bathypelagic",1690,29,"SL",10150
