species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Hypanus guttatus,x,,,,
Hypanus sabinus,x,,,,
Hypanus say,x,,,,
Pteroplatytrygon violacea,,x,x,,
Dinematichthyidae,,,,,
Alionematichthys minyomma,x,,,,
Gunterichthys longipenis,x,,,,
Ogilbia boehlkei,x,,,,
Ogilbia cayorum,x,,,,
Ogilbia jeffwilliamsi,x,,,,
Ogilbia mccoskeri,x,,,,
Ogilbia sabaji,x,,,,
Ogilbia species A,x,,,,
Ogilbia species B,x,,,,
Ogilbia suarezae,x,,,,
Ogilbia tyleri,x,,,,
Ogilbichthys ferocis,x,,,,
Ogilbichthys haitiensis,x,,,,
Ogilbichthys kakuki,x,,,,
Ogilbichthys longimanus,x,,,,
Ogilbichthys microphthalmus,x,,,,
Ogilbichthys puertoricoensis,x,,,,
Ogilbichthys tobagoensis,x,,,,
Pseudogilbia sanblasensis,x,,,,
Diodontidae,,,,,
Chilomycterus antennatus,x,,,,
Chilomycterus antillarum,x,,,,
Chilomycterus reticulatus,x,,,,
Chilomycterus schoepfii,x,,,,
Chilomycterus spinosus spinosus,x,,,,
Diodon eydouxii,,x,,x,x
Diodon holocanthus,x,,,,
Diodon hystrix,x,,,,
Draconettidae,,,,,
Centrodraco acanthopoma,x,,,,
Echeneidae,,,,,
Echeneis naucrates,,x,,x,
Echeneis neucratoides,,x,x,x,x
Phtheirichthys lineatus,,x,,x,
Remora albescens,,x,,x,
Remora australis,,x,,x,
Remora brachyptera,,x,,x,
Remora osteochir,,x,,x,
Remora remora,,x,,x,
Echinorhinidae,,,,,
Echinorhinus brucus,x,,x,,
Eleotridae,,,,,
Butis koilomatodon,x,,,,
Dormitator maculatus,x,,,,
Eleotris amblyopsis,x,,,,
Eleotris perniger,x,,,,
Eleotris picta,x,,,,
Eleotris pisonis,x,,,,
Erotelis smaragdus,x,,,,
Gobiomorus dormitor,x,,,,
Guavina guavina,x,,,,
Leptophilypnus fluviatilis,x,,,,
Elopidae,,,,,
Elops saurus,x,,x,,
Elops smithi,x,,x,,
Emmelichthyidae,,,,,
Emmelichthys ruber,,x,,x,x
Erythrocles monodi,,x,,,
Engraulidae,,,,,
Anchoa cayorum,,x,,x,x
Anchoa choerostoma,,x,,x,x
Anchoa colonensis,,x,,x,x
Anchoa cubana,,x,,x,x
