name,meters,location
Serranus phoebe,132,Bonaire
Apogon pseudomaculatus,131,Bonaire
Chromis enchrysura,131,Bonaire
Lipogramma levinsoni,131,Bonaire
Muraena retifera,131,Bonaire
Muraena retifera,131,Bonaire
Prognathodes guyanensis,131,Bonaire
Pronotogrammus martinicensis,131,Bonaire
Pronotogrammus martinicensis,131,Bonaire
Rypticus saponaceous,131,Bonaire
Serranus phoebe,131,Bonaire
Serranus phoebe,131,Bonaire
Chromis enchrysura,130,Bonaire
Chromis enchrysura,130,Bonaire
Chromis enchrysura,130,Bonaire
Chromis insolata,130,Bonaire
Lipogramma levinsoni,130,Bonaire
Lipogramma levinsoni,130,Bonaire
Lipogramma levinsoni,130,Bonaire
Pronotogrammus martinicensis,130,Bonaire
Pronotogrammus martinicensis,130,Bonaire
Pronotogrammus martinicensis,130,Bonaire
Rypticus saponaceous,130,Bonaire
Serranus notospilus,130,Bonaire
Serranus phoebe,130,Bonaire
Serranus phoebe,130,Bonaire
Serranus phoebe,130,Bonaire
Serranus phoebe,130,Bonaire
Antilligobius nikkiae,129,Bonaire
Caulolatilus dooleyi,129,Bonaire
Chromis enchrysura,129,Bonaire
Pronotogrammus martinicensis,129,Bonaire
Pronotogrammus martinicensis,129,Bonaire
Antilligobius nikkiae,128,Bonaire
Chromis enchrysura,128,Bonaire
Chromis enchrysura,128,Bonaire
Decodon shallow,128,Bonaire
Liopropoma olneyi,128,Bonaire
